Video-ID,Link,Model,Approach,Prompt,Output,Question?,Relevance,Answerability,Bloom's Level
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Mistral-7B-Instruct,Zero-Shot,Create a question about the video content.,"What is the main example given in the video to illustrate the fallacy of division, and how does it demonstrate the error in reasoning?",Yes,Yes,Yes,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Mistral-7B-Instruct,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"What is the informal fallacy discussed in the video, and how does it relate to the incorrect assumption that water molecules are wet?",Yes,Yes,Yes,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Mistral-7B-Instruct,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"What is the informal fallacy discussed in the video, and can you provide an example of how it can lead to a false conclusion? (The fallacy is the fallacy of division, and an example is: Premise 1. My car is red and it goes really fast. Premise 2. The muffler is a part of my car. Conclusion. Therefore, my car's muffler is red and goes really fast.)",Yes,Yes,Yes,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the main message of the video?,Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What is the meaning of life?,Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the fallacy of division?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-VIdeo-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,Question: What is the main idea of the video and what is the fallacy being discussed?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"Question: What is the fallacy of division, and why is it wrong to conclude that water molecules are wet?",Yes,Yes,Yes,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Zero-Shot,Create a question about the video content.,"In the video, the man has drawn a picture of a house on a blackboard.",No,No,No,-
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"Sure, I can do that. Here's a question that tests comprehension of the video's main idea. Can you imagine a black and white image of a car on a black background without any other elements in it, such as people or trees? This video has shown us that we can imagine or draw a black and white picture of a car, but we need to think outside the box to do so.",Yes,No,No,-
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"Sure! I have seen a black background with a white letter \""i\"" and a black rectangle with text on it. There was also a white car and a person's hand drawing on a white background. I can answer questions related to the colors, fonts, shapes, sizes, and placements of these objects in the video.",No,No,No,-
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Fine-Tuned,Create a question about the video content.,1:20 What is the fallacy of division?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-VIdeo-LLaVA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,1:20 What is the fallacy of division?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,"1:27, what is the name of the fallacy?",Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Fine-Tuned,Create a question about the video content.,Doesn't a division mean it's the same as two equal parts?,Yes,Yes,Yes,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,Does the man on the left side get to decide where he gets to go in the country?,Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,"I saw a reference to \""a property\"". Is this something similar to a feature?",Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Audio only,Create a question about the video content.,What is the fallacy of division?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-VIdeo-LLaVA,Audio only,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Audio only,Generate a question to assess the knowledge acquired from the video.,What is the fallacy of division?,Yes,Yes,Yes,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Audio only,Create a question about the video content.,How does an object get the size of 0 degrees?,Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Audio only,Develop a question that tests comprehension of the video's main idea.,Why was the discovery of the tachyon so revolutionary?,Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Audio only,Generate a question to assess the knowledge acquired from the video.,"At what point in the video did the host say \""no,no,no,NO!\""?",Yes,No,No,Remembering
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Frames only,Create a question about the video content.,"Is the statement \""The cat is on the mat\"" a true or false statement?",Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-VIdeo-LLaVA,Frames only,Develop a question that tests comprehension of the video's main idea.,"Is the statement \""The cat is on the mat\"" a true or false statement?",Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,PG-Video-LLaVA,Frames only,Generate a question to assess the knowledge acquired from the video.,How can we know that the person is lying?,Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Frames only,Create a question about the video content.,"How do you define the word \""divided\""?",Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Frames only,Develop a question that tests comprehension of the video's main idea.,"At 2:49, how would a car with 4 wheels and a bus with 6 wheels fit into these categories?",Yes,No,No,Understanding
uEhRqiSA4ko,https://www.youtube.com/watch?v=uEhRqiSA4ko,Video-LLaMA,Frames only,Generate a question to assess the knowledge acquired from the video.,"3:13 - 3:23,\nHow is it possible to consider what is fair to all when there are people who are too poor to pay taxes?",Yes,No,No,Understanding
,,,,,,,,,
