Video-ID,Link,Model,Approach,Prompt,Output,Question?,Relevance,Answerability,Bloom's Level
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Mistral-7B-Instruct,Zero-Shot,Create a question about the video content.,"What could be the potential causes for the phenomenon known as Colony Collapse Disorder, where large numbers of honeybees in the U.S. are disappearing, leading to concerns about food production and pollination? Possible offenders include pests and diseases, genetics, and chemicals. Could you explain how each of these factors might contribute to the decline of honeybee populations?",Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Mistral-7B-Instruct,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"question"": ""What is the main cause of the phenomenon known as Colony Collapse Disorder, as suggested by the video, and why is it a concern for global food production? (Possible answers: Several factors are the cause, including pests and diseases, genetics, and chemicals; It's a concern because fewer bees mean less pollination and higher food costs.)",Yes ,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Mistral-7B-Instruct,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"Based on the video, which of the following factors is most likely contributing to the phenomenon known as Colony Collapse Disorder, affecting honeybees in the U.S. since 2006, and potentially leading to higher food costs and crop shortages?\n\nA) Pests and diseases\nB) Lack of genetic diversity\nC) Chemicals (pesticides)\nD) Climate change\nE) Human activities (habitat destruction)\n\n(The correct answer is C) Chemicals (pesticides). However, it's important to note that scientists believe that several factors may be contributing to Colony Collapse Disorder, and the exact cause remains unclear.",Yes,Yes,Yes,Remembering
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaVA,Zero-Shot,Create a question about the video content.,What is the main message of the video?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the main idea of the video?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What is the primary message of the video?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-Video-LLaVA,Zero-Shot,Create a question about the video content.,"In the image, there is a large black and white photo of a forest. The photo is taken from a low angle, capturing the vastness of the forest. The trees in the image are tall and dense, creating a sense of depth and mystery. The black and white color scheme adds a timeless and classic touch to the scene, emphasizing the natural beauty of the forest. The photo appears to be well-composed, with the trees and the sky forming a harmonious balance.",No,No,No,-
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-VIdeo-LLaVA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,What is the primary purpose of the video?,Yes,No,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-Video-LLaVA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,What are some of the key features of the video content that PG-Video-LLaVA can understand and assist with?,Yes,No,No,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Zero-Shot,Create a question about the video content.,"Sure, I can answer your question based on what I observed in the video. The video shows various scenes of a brain, a clock, a city at night, and a number of other visual elements. It is difficult to pinpoint a specific element or object that stands out among the others, as they all seem to be presented in a similar manner.",No,No,No,-
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Zero-Shot,Develop a question that tests comprehension of the video's main idea.,"Okay, let me close my eyes and focus on the sound of the video. I hear the sound of birds chirping and a faint hum of traffic in the background. Now, I'm opening my eyes and imagining a yellow and white flower arrangement in a vase. It's decorated with a small black bowl and some white and brown lettering. The vase is small and has a round top with a flower on top of it. There's also a small black and white picture frame with a yellow and white flower on the top. The flower is decorated with a small black ribbon and has a black background. As I look around, I see several pictures of white, yellow, and black flowers. Some of the images have captions that read 'birds', 'flowers', and 'trees'. The video then shows a head with a bee flying above it and a black and white picture frame with a yellow and white flower on top. I also see a picture of a bee and a large number 75, along with a yellow and white flower. Finally, I see the head of a man and several pictures of flowers.",No,No,No,-
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Zero-Shot,Generate a question to assess the knowledge acquired from the video.,"The video shows a black background with a clock in the center, followed by an image of a head of a man, a head of a man with a clock in the background, and a man's head with a yellow flower. The head is shown with different objects like yellow and white flowers, a white circle with the word \""billion,\"" and a yellow circle with the word \""billion\"" next to a black picture frame. The objects have varying colors and sizes, with descriptions ranging from a black and white picture of a man, a black and white picture of a flower, a man's head with the word \""billion\"" written on it, to a black and white image of a bicycle. There are no humans in the video, but the head of the man is shown with different objects. The video also has the word \""billion\"" written in yellow on the clock, which is shown on the head. Overall, the video shows a lot of imagery related to the clock and head of the man.",No,No,No,-
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-Video-LLaVA,Fine-Tuned,Create a question about the video content.,What is the most frightening thing about the mystery of the vanishing bees?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-VIdeo-LLaVA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,What is the most frightening thing about the mystery of the vanishing bees?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,PG-Video-LLaVA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,What is the most frightening thing about the mystery of the vanishing bees?,Yes,Yes,Yes,Understanding
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Fine-Tuned,Create a question about the video content.,Which nerve is responsible for hearing and balance?,Yes,No,No,Remembering
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Fine-Tuned,Develop a question that tests comprehension of the video's main idea.,"When I saw the \""2,000,000,0000\"" part, I was like \""wow that is a lot of zeros\"". Do you think that humans can live 1000 years from now?",Yes,No,No,Evaluating
oz1Cz8ko8iY,https://www.youtube.com/watch?v=oz1Cz8ko8iY,Video-LLaMA,Fine-Tuned,Generate a question to assess the knowledge acquired from the video.,How does this concept of neuronal circuits affect the way people think?,Yes,No,No,Understanding
